window,test_start,train_sharpe,test_sharpe,n_test_trades
0,2023-01,-0.6074146129626082,4.548591258675557,45
1,2023-04,0.9985747807619496,3.2309806958611844,50
2,2023-07,0.837364265605689,-5.476325627034858,56
3,2023-10,-0.04138279947345096,2.6723078700174834,58
4,2024-01,0.20988697092907851,6.513126449684435,55
5,2024-04,2.1507985990218574,6.1075047081624145,50
6,2024-07,2.7326444550359583,2.286368360407357,61
7,2024-10,4.389082538144232,-5.259765513948389,57
8,2025-01,2.074714678372641,-7.242461785097903,55
9,2025-04,-1.4618050360056298,14.717845104077973,52
10,2025-07,0.5670495591708014,5.4600184523850865,49
11,2025-10,1.7667906012211156,9.441270590738062,49
12,2026-01,5.551193228528003,-1.1746828159543667,50
